Income,Recency,Wines,Fruits,Meat,Fish,Sweets,Gold,Seniority,labels
75702,77,650,28,353,45,42,30,9.68,0
30899,35,24,0,8,0,0,1,9.56,3
63342,48,918,21,118,13,10,21,9.55,0
45989,97,138,33,87,28,24,12,9.54,3
18701,95,12,4,2,10,6,10,8.92,2
40737,24,11,0,4,0,0,2,8.41,1
15287,60,1,2,8,4,3,13,9.57,3
69674,46,554,41,215,11,0,24,8.96,0
44159,85,167,2,62,24,13,7,7.88,2
37717,31,9,0,6,4,1,5,9.45,3
43776,9,177,2,71,3,2,20,9.25,3
38179,30,38,4,22,4,2,20,9.15,3
80124,47,483,84,398,205,84,241,7.86,4
38097,70,77,2,35,0,1,69,9.56,3
72940,13,182,74,298,162,149,116,8.88,4
22070,11,10,7,19,8,2,21,8.59,1
69267,31,778,44,499,95,73,146,9.62,0
31788,15,16,7,23,0,8,6,8.13,1
61905,2,167,0,43,6,2,13,8.25,1
29315,55,13,2,14,8,7,4,8.08,2
33378,38,33,6,40,3,7,10,9.24,3
66313,86,625,7,99,10,22,7,8.64,2
60714,56,216,162,224,101,92,162,9.3,4
77882,29,68,129,396,188,22,15,8.02,4
69867,30,196,0,512,33,130,54,9.09,3
63841,64,635,15,100,20,7,131,9.04,0
24480,46,4,19,9,28,25,17,9.23,3
65640,74,204,7,149,20,15,66,8.18,2
44319,18,26,0,8,0,0,3,8.05,1
30631,75,15,6,20,4,5,20,8.82,2
75278,17,304,98,230,150,74,74,9.27,4
50898,88,285,28,242,55,114,135,9.32,0
79946,19,395,183,565,166,141,28,7.98,4
35416,62,248,3,81,4,3,51,8.9,3
32414,11,20,6,5,0,9,12,8.84,1
38361,74,39,0,56,20,8,14,8.36,2
82497,32,777,129,573,216,21,203,9.51,4
16626,76,8,3,22,21,1,13,8.3,2
29672,6,9,1,3,0,4,8,9.15,1
55951,62,1241,0,80,0,13,40,9.7,0
35388,20,6,4,7,4,3,8,9.16,3
42386,43,65,4,16,0,4,11,9.31,3
68627,45,395,15,263,60,54,38,9.31,0
57912,34,801,0,80,0,0,35,8.14,1
35246,53,36,0,12,2,2,10,8.05,2
58821,44,513,14,154,19,0,28,8.56,1
46377,89,37,0,46,4,3,0,8.18,2
39747,43,80,15,93,20,13,52,8.06,1
23976,68,14,1,21,2,3,25,8.36,2
80950,44,525,147,112,219,147,63,9.11,4
27038,64,1,26,25,17,23,15,9.63,3
77457,85,675,11,400,15,45,11,8.17,2
64100,93,509,0,27,0,0,10,8.65,2
42670,12,154,2,46,20,4,15,9.02,1
12571,86,3,5,14,2,12,17,8.3,2
22574,28,25,0,8,2,0,2,8.52,1
70893,42,768,44,561,77,44,14,9.24,0
54198,13,185,0,28,3,2,17,8.38,1
28839,86,24,0,7,0,0,1,8.15,2
40321,59,44,4,21,6,0,27,8.77,2
66503,30,91,64,128,65,3,50,9.73,3
30833,33,11,0,7,3,1,6,8.81,1
64795,23,412,5,119,38,29,77,9.3,3
34421,81,3,3,7,6,2,9,8.85,2
47025,6,16,0,3,0,0,1,8.24,1
64325,41,731,60,353,78,12,73,9.24,0
40464,78,424,17,118,7,23,41,9.32,3
62187,49,792,0,275,45,45,126,8.84,0
14849,39,21,2,28,3,2,9,8.84,3
27255,3,22,1,11,0,1,2,8.49,1
54432,37,33,0,5,0,0,0,8.99,3
29999,22,68,7,59,10,5,11,9.22,3
24072,79,9,1,6,3,0,4,9.05,2
33996,46,40,2,15,8,0,6,8.65,1
66334,82,909,11,218,0,0,23,9.09,0
35178,10,23,1,13,2,2,18,9.32,3
22010,51,11,2,9,3,0,8,8.85,3
62204,38,317,46,247,151,46,139,9.65,4
75693,10,797,153,293,72,97,30,9.41,4
30675,14,10,2,16,11,2,21,9.48,3
83003,18,856,61,570,40,25,122,9.18,0
68655,95,456,19,832,75,118,38,9.74,0
41411,11,37,32,38,11,3,18,8.41,1
55212,65,1103,0,45,0,0,34,9.45,0
59292,71,378,14,68,19,14,14,8.9,2
27190,13,1,6,7,0,1,3,8.72,1
82623,58,204,34,204,172,153,173,8.48,4
44300,65,30,0,9,0,0,3,8.87,2
84835,0,189,104,379,111,189,218,7.89,4
30372,33,15,0,12,7,3,7,9.36,3
33181,90,9,0,3,0,0,4,8.34,2
71113,95,495,33,255,11,33,8,8.38,2
71952,93,656,80,455,52,107,93,9.32,0
69759,38,452,20,514,13,30,0,8.52,1
72099,18,546,91,410,119,0,22,9.52,4
60000,57,1048,0,217,0,0,12,9.37,0
38643,45,22,2,14,0,1,10,8.43,1
50737,61,78,0,11,0,0,10,8.99,3
68462,6,561,64,785,84,128,48,9.4,4
65073,65,629,17,177,69,0,8,8.71,0
46681,52,269,15,69,15,19,38,8.58,2
78618,87,736,163,818,212,163,61,9.6,4
62187,38,512,0,83,0,0,41,8.12,1
28442,53,19,3,10,11,8,6,8.19,2
51479,67,247,8,160,6,8,65,9.35,3
54803,65,404,0,92,28,27,142,9.71,3
79530,64,333,0,815,129,42,29,8.97,0
31615,82,2,3,20,6,11,9,9.14,3
72025,27,833,33,549,151,133,233,9.47,4
52614,63,789,0,142,12,9,38,9.43,0
35684,66,10,4,7,0,6,3,8.04,2
48178,69,159,4,45,6,2,38,9.52,3
29548,52,7,1,6,3,1,11,8.68,2
63810,45,977,12,253,16,12,101,9.48,0
38578,2,38,4,22,3,3,3,8.87,1
46098,86,57,0,27,0,0,36,9.72,3
22585,23,3,9,15,13,2,39,9.13,3
30279,13,10,4,14,4,4,1,9.35,3
66426,14,1043,24,97,32,24,157,8.59,0
30822,92,3,9,13,2,12,12,8.89,2
33581,38,11,0,5,0,0,1,9.32,3
19986,74,3,6,5,0,2,6,8.47,2
27421,14,43,12,96,78,40,55,9.4,3
36143,33,12,0,1,0,0,6,8.1,1
10245,32,4,7,7,6,4,13,8.98,3
43795,11,314,11,53,4,3,107,8.55,1
63381,78,571,50,142,33,50,159,9.58,0
38823,56,70,0,11,2,8,23,9.68,3
83664,57,866,21,151,28,21,86,8.99,0
90300,7,594,134,786,33,134,57,8.34,4
62499,0,140,4,61,0,13,4,8.41,1
74293,66,375,152,335,93,91,81,8.01,4
51012,86,102,9,63,2,9,24,9.05,2
70777,80,554,35,113,0,7,78,8.19,2
68682,56,919,0,505,99,30,45,8.58,0
43824,18,96,1,42,12,3,32,9.64,3
15345,51,5,2,16,3,2,19,9.68,3
23442,71,2,0,6,8,6,5,9.36,3
14515,71,6,4,9,6,36,35,9.49,3
31395,80,23,1,25,0,8,7,9.12,3
75276,2,610,105,125,137,42,21,9.61,4
42373,83,67,5,61,3,8,19,8.72,2
30507,29,65,36,74,38,20,110,9.15,3
55521,11,416,0,26,0,0,4,8.54,1
48006,55,23,0,11,3,2,2,7.91,2
27213,19,19,3,26,10,9,3,9.68,3
65808,1,155,7,80,13,7,10,7.93,1
30351,19,14,0,24,3,3,2,8.92,1
50437,28,370,9,92,6,9,4,9.55,3
23616,76,4,22,11,3,7,32,9.47,3
53858,50,407,53,221,58,150,26,9.49,0
66465,1,1200,0,204,38,29,14,9.1,0
46923,90,85,44,54,102,78,6,9.7,3
75072,83,583,34,309,0,22,125,9.28,0
75865,73,483,0,591,156,0,12,8.1,2
19789,24,2,5,9,28,6,28,8.46,1
80134,11,966,26,282,52,26,26,8.22,1
91065,33,822,114,108,179,137,114,9.2,4
49505,4,604,0,100,19,0,28,9.17,1
37401,14,19,3,19,3,1,3,8.0,1
18492,75,2,2,2,2,1,1,7.92,2
82584,26,1076,68,103,29,91,68,8.92,0
93027,77,1285,42,716,55,0,21,9.06,0
48686,8,10,0,7,2,0,1,8.42,1
92910,42,551,137,792,179,103,33,8.03,4
75433,28,800,0,297,0,34,57,8.08,1
10404,52,2,2,11,10,6,12,8.01,2
61314,1,378,0,189,97,172,172,9.03,4
84865,1,1248,16,349,43,16,16,8.99,0
42387,42,235,0,235,19,4,191,9.52,3
67309,76,515,47,181,149,95,95,9.28,0
75236,27,438,66,400,12,38,114,8.44,1
30015,28,25,0,22,2,3,5,8.25,1
50943,49,31,0,7,2,0,6,8.87,3
67272,12,357,35,271,28,28,14,8.37,1
51529,14,400,4,35,6,0,22,8.66,1
32011,89,99,0,15,2,1,5,8.7,2
7500,96,1,11,5,4,6,9,9.24,3
28691,56,5,4,13,8,0,4,8.84,3
56223,72,77,28,31,16,0,4,8.38,2
18100,14,3,1,2,4,3,1,8.75,1
20130,99,0,6,3,7,6,12,8.14,2
23295,72,0,0,1,2,12,5,8.81,2
42618,92,76,14,74,13,5,10,8.57,2
81246,87,398,190,537,61,156,37,8.35,4
24027,7,14,7,11,11,0,5,8.91,1
55707,91,208,7,82,30,66,35,8.37,2
57959,71,430,16,322,43,24,33,9.01,0
56796,24,656,38,161,62,47,37,9.22,0
36230,17,14,2,30,8,2,3,8.55,1
70829,87,141,70,106,72,19,23,8.43,2
65991,21,507,19,364,25,47,9,9.66,3
38988,90,164,24,103,12,3,42,9.71,3
89572,44,606,24,974,197,194,64,9.64,4
42207,71,116,11,72,3,17,46,9.1,3
50300,52,143,15,60,24,23,5,7.95,2
66664,78,398,96,447,220,96,32,9.61,4
60597,2,522,0,257,32,16,66,8.34,1
70165,60,161,0,253,199,191,122,8.62,4
50520,25,112,0,6,2,1,14,8.27,1
33183,46,7,5,39,17,15,37,8.19,1
66582,83,789,25,420,16,38,0,8.18,2
75261,17,1239,17,413,23,34,17,9.04,0
31880,13,4,1,5,2,0,3,9.51,3
53790,86,335,42,127,28,5,5,8.17,2
49269,92,639,8,166,11,8,58,9.72,0
61456,47,563,76,384,84,192,89,9.11,4
37406,18,2,0,8,2,2,3,8.57,1
56937,81,746,8,125,11,8,8,9.75,0
38415,91,22,1,13,4,0,4,9.34,3
20518,58,4,1,6,4,1,9,7.97,2
62503,40,478,0,193,110,75,117,9.21,0
41644,67,20,3,4,2,0,2,7.99,2
55842,19,451,0,39,0,4,24,7.95,1
62010,93,371,22,39,6,0,92,9.53,3
41124,41,281,7,84,15,0,119,9.51,3
38961,60,19,7,19,0,1,24,8.35,2
37760,54,26,3,13,2,10,0,8.73,2
32233,26,138,15,35,25,11,72,9.71,3
43057,30,213,2,44,0,2,5,8.52,1
83151,93,407,28,100,120,74,18,9.57,0
78825,35,483,74,114,169,37,18,9.64,4
65104,4,738,0,232,13,20,50,8.47,1
60093,92,502,12,109,16,6,90,8.86,2
14045,24,11,0,5,2,1,1,8.27,1
28457,96,24,1,108,29,29,14,9.52,3
78952,11,1170,19,594,99,76,134,9.61,0
46310,99,185,2,88,15,5,14,9.42,3
76005,72,983,20,389,240,50,40,9.2,0
58308,77,691,0,69,10,0,130,9.31,0
55614,85,504,13,131,8,0,26,8.44,2
59432,88,317,25,265,25,19,12,9.06,2
55563,22,29,1,9,2,0,2,8.08,1
78642,83,1396,0,322,46,35,17,9.04,0
67911,63,529,0,356,63,28,0,7.96,2
65275,9,388,14,218,91,14,21,9.09,1
27203,92,13,2,21,4,0,24,9.75,3
48330,2,28,0,4,0,0,0,8.47,1
24279,6,16,36,21,20,62,108,9.35,3
64355,66,1047,0,140,67,38,153,9.7,0
53653,29,815,10,239,28,10,108,9.49,0
65665,77,225,162,387,106,36,29,8.42,4
81217,77,493,70,324,146,40,84,8.8,4
34935,71,34,4,66,3,10,20,8.87,2
61250,49,382,138,65,60,26,59,9.39,4
39665,97,127,1,56,0,1,31,8.95,2
60152,6,325,83,300,86,58,91,9.11,4
48920,93,238,17,68,8,10,6,8.54,2
89120,78,1168,92,408,72,129,55,8.14,4
44124,62,284,0,55,0,6,52,8.99,3
81169,47,1288,20,613,80,61,27,9.06,0
36443,9,65,0,46,4,3,20,9.25,3
26095,77,11,7,9,3,1,11,8.85,2
71367,24,227,23,389,42,21,75,8.7,1
80184,19,1035,134,670,25,38,0,8.18,4
30630,67,27,1,12,2,0,10,8.27,2
73454,95,982,73,351,56,14,175,8.18,0
42691,48,179,2,64,38,17,58,8.72,1
70503,73,1379,33,216,0,33,66,9.6,0
25545,35,32,1,64,16,12,85,9.66,3
32880,76,8,4,15,7,6,2,9.42,3
77863,20,881,38,319,16,25,12,8.44,1
50353,72,141,15,153,67,31,35,7.91,2
61839,20,1000,155,379,224,17,120,9.73,4
49154,69,206,10,67,30,27,71,8.5,2
47682,80,162,61,83,97,57,61,9.22,0
72679,65,619,54,260,127,54,54,8.63,4
57954,52,456,4,24,0,0,9,7.88,2
65316,65,112,6,92,3,9,38,9.03,3
28567,57,11,3,22,2,2,6,8.88,3
47352,70,172,12,112,8,0,15,9.07,3
44931,0,78,0,11,0,0,7,8.3,1
76982,19,464,151,292,65,60,30,8.22,4
57247,50,99,4,32,37,54,6,8.74,2
22944,67,19,3,19,4,5,26,8.37,2
25315,46,1,9,8,11,3,22,8.49,1
43638,37,63,10,83,7,19,19,9.75,3
42710,38,252,3,42,4,3,102,9.44,3
84169,9,1478,19,403,0,19,0,8.75,0
54058,56,198,18,252,32,108,54,8.92,3
24683,98,8,4,10,6,7,6,8.16,2
85620,68,416,46,925,60,107,46,8.33,4
47850,72,42,7,43,20,12,10,8.42,2
19514,47,14,3,21,2,1,28,8.27,1
27159,33,17,0,3,0,0,1,8.1,1
39548,87,15,4,10,3,4,18,8.1,2
21474,0,6,16,24,11,0,34,8.08,1
60504,73,458,0,24,6,4,34,8.24,2
22419,74,30,3,47,19,21,42,9.05,3
81698,4,179,28,520,111,123,47,8.5,4
43462,50,90,17,97,15,6,15,9.65,3
54880,57,308,85,137,102,45,118,9.18,4
79908,30,557,129,761,29,185,111,9.08,4
15315,27,7,4,13,15,8,17,8.76,1
87771,61,1492,38,287,50,57,33,8.96,0
33039,4,30,8,12,8,8,12,8.65,1
81741,75,249,153,940,58,134,38,8.89,4
71499,12,465,25,132,136,0,37,8.86,1
62466,13,129,129,259,168,121,83,8.3,4
48799,9,174,18,81,28,6,24,8.5,1
52157,48,189,2,29,3,2,40,7.91,1
66565,80,747,10,161,65,40,42,9.42,0
29298,60,6,0,2,2,0,1,8.66,2
47691,43,14,0,3,0,0,4,8.84,3
38200,19,12,0,4,0,0,1,9.41,3
44989,26,98,0,106,49,10,106,9.65,3
38443,58,32,0,5,0,0,1,8.27,2
38593,42,51,12,49,17,24,24,8.64,1
64413,27,200,5,44,0,10,20,8.76,1
36959,56,25,6,25,6,0,0,8.59,2
61996,27,1050,12,144,0,0,24,9.26,0
51287,10,117,0,22,13,0,30,8.1,1
13260,48,9,4,17,10,2,7,8.7,2
47472,39,56,0,11,0,0,8,8.64,1
54603,85,145,13,46,17,2,4,8.82,2
45207,64,203,0,10,0,0,2,9.48,3
47821,54,9,0,16,6,6,10,8.54,2
27450,57,37,12,23,8,11,52,9.06,3
39453,64,46,0,7,0,0,2,8.09,2
26850,10,31,1,13,7,2,9,8.05,1
79800,65,1060,21,530,32,0,224,9.62,0
61794,74,264,47,188,54,47,11,8.64,2
53863,4,399,4,30,6,4,30,7.97,1
24221,94,8,9,9,2,5,22,8.71,2
39684,41,19,0,35,6,4,17,9.56,3
92163,25,817,183,797,106,163,20,9.4,4
69882,94,292,127,635,132,127,165,8.48,4
33178,9,12,6,2,11,2,16,8.26,1
59973,47,130,30,168,20,34,0,8.65,1
17459,12,6,4,16,3,10,30,8.63,1
23910,80,16,12,18,7,1,13,9.53,3
42169,20,19,0,9,0,0,2,8.55,1
26224,39,4,7,15,13,9,15,8.92,3
31089,57,31,3,31,2,8,4,9.72,3
30081,27,36,0,2,0,0,4,9.2,3
62807,83,526,28,135,10,21,99,9.68,0
72906,79,400,32,519,71,75,54,8.63,0
61467,69,410,16,114,0,5,49,9.41,3
49618,77,80,3,26,4,2,14,9.27,3
21888,15,88,10,46,2,3,64,9.35,3
26150,61,5,1,13,3,5,1,9.15,3
30801,23,8,4,5,15,2,11,9.53,3
81168,84,410,0,592,147,22,22,8.0,2
26877,74,101,13,76,20,18,40,8.71,2
45006,90,162,25,53,16,0,10,8.8,2
18978,41,2,8,1,4,7,15,9.4,3
48240,73,389,91,248,64,49,41,9.49,0
45837,88,215,13,87,17,17,24,8.78,2
35791,94,27,0,5,0,0,3,9.0,2
162397,31,85,1,16,2,1,2,8.92,1
54162,31,5,6,10,6,5,10,9.13,3
30522,6,179,8,83,19,11,26,9.72,3
54456,23,352,0,27,10,0,15,8.82,1
31632,92,17,8,12,11,15,32,8.81,2
72298,52,625,35,169,58,17,35,8.16,2
36975,50,10,6,11,0,4,2,8.35,2
72635,54,390,22,323,104,35,107,8.92,0
13624,93,10,2,15,2,1,6,9.29,3
84196,56,215,63,507,231,31,190,8.92,4
70971,28,1001,17,572,93,125,17,9.62,0
34487,94,19,18,33,24,1,8,9.66,3
28769,76,41,5,129,10,3,3,9.38,3
69084,43,1181,107,199,39,30,30,8.46,0
65488,46,603,45,207,36,18,54,7.9,1
