Num_children,Income,Wines,Fruits,Meat,Fish,Sweets,Gold,Total,labels
0,86037,490,44,125,29,20,22,730,1
1,43974,378,0,101,0,0,72,551,1
2,50785,64,1,21,0,1,27,114,0
0,90765,547,99,812,151,82,33,1724,2
1,36550,47,90,94,123,103,120,577,1
2,30753,12,5,25,0,9,30,81,0
1,21918,1,6,7,11,5,3,33,0
1,56129,320,48,133,39,72,48,660,1
1,32557,34,3,29,0,4,10,80,0
2,19510,9,0,7,3,4,7,30,0
1,30992,17,0,14,7,3,2,43,0
0,101970,722,27,102,44,72,168,1135,2
0,71488,162,33,124,40,28,172,559,1
0,79607,450,133,951,173,0,216,1923,2
2,54348,70,0,16,0,0,4,90,0
2,77376,492,19,110,16,12,12,661,1
1,62998,120,58,73,65,89,58,463,1
2,61331,534,5,47,0,5,41,632,1
0,73448,236,106,189,23,41,130,725,1
2,41551,220,0,33,3,0,23,279,0
0,62981,796,14,590,38,44,0,1482,2
1,9548,0,1,3,10,6,9,29,0
3,33762,53,1,34,2,0,16,106,0
2,35860,15,0,8,4,2,20,49,0
2,36921,17,1,12,3,1,4,38,0
0,92859,962,61,921,52,61,20,2077,2
1,65104,738,0,232,13,20,50,1053,1
0,86111,399,28,756,36,40,126,1385,2
1,68352,614,16,132,43,33,33,871,1
1,41883,32,34,41,73,16,116,312,0
2,59809,598,16,141,32,41,49,877,1
1,23957,2,1,18,20,11,16,68,0
1,38547,6,1,10,0,1,4,22,0
3,35688,73,3,90,12,1,32,211,0
0,49605,42,16,29,12,20,8,127,0
2,59354,295,21,78,39,13,13,459,0
1,65747,346,17,48,23,13,13,460,1
1,46344,233,20,57,8,20,91,429,0
1,34176,5,7,24,19,14,20,89,0
1,61010,888,0,57,0,0,76,1021,1
0,69372,997,26,269,34,13,42,1381,1
1,49967,212,6,69,4,12,3,306,0
3,60199,8,1,7,2,0,0,18,0
1,55375,42,11,57,10,28,14,162,0
0,80317,536,11,387,149,91,57,1231,2
3,30523,5,0,3,0,0,5,13,0
0,70356,1349,16,249,43,16,33,1706,2
1,23228,53,3,49,7,4,5,121,0
0,74165,1001,12,240,16,12,12,1293,1
3,43482,18,1,32,6,3,28,88,0
0,62551,125,16,98,134,21,27,421,1
0,52332,212,5,33,7,0,2,259,0
0,66951,277,162,305,173,76,124,1117,2
2,26091,15,10,19,8,17,20,89,0
2,33456,7,3,10,8,1,7,36,0
1,28718,12,4,6,11,8,16,57,0
2,50447,85,7,24,2,3,27,148,0
2,53537,81,0,6,0,0,6,93,0
1,52074,59,0,12,0,0,48,119,0
1,80427,1149,71,449,69,71,26,1835,2
0,83837,847,66,119,86,89,111,1318,2
2,38853,29,0,14,0,0,2,45,0
3,38285,2,0,5,2,0,1,10,0
0,78497,207,26,447,75,0,223,978,1
1,51650,152,3,22,2,5,7,191,0
1,16248,12,11,10,3,12,9,57,0
0,66835,620,26,195,34,17,141,1033,1
1,30477,47,1,6,0,0,12,66,0
0,28249,1,9,7,2,14,10,43,0
1,25271,10,1,18,10,4,7,50,0
1,32303,35,0,2,0,0,2,39,0
1,61286,356,0,107,19,9,117,608,1
0,74068,783,30,537,140,76,15,1581,2
2,45759,42,1,18,3,0,4,68,0
1,24882,1,4,10,29,0,36,80,0
0,66973,466,22,432,147,113,102,1282,2
1,38872,23,3,21,3,19,22,91,0
2,51148,235,6,45,8,9,12,315,0
2,31353,10,0,10,3,1,7,31,0
0,69661,656,16,106,32,16,8,834,1
0,80067,519,17,813,27,173,51,1600,2
0,86718,344,189,482,50,33,172,1270,2
2,46854,96,1,79,7,1,79,263,0
1,69142,448,4,34,6,4,39,535,1
0,75922,265,138,553,224,23,92,1295,2
1,63693,587,43,337,42,87,54,1150,1
0,102160,763,29,138,76,176,58,1240,2
2,40637,22,0,13,0,0,3,38,0
0,18890,6,4,1,7,2,15,35,0
1,29604,7,6,13,7,6,14,53,0
2,48721,81,18,113,47,13,21,293,0
1,44794,54,0,7,0,0,4,65,0
1,64497,1170,48,320,42,32,192,1804,2
1,46097,72,24,68,65,4,8,241,0
0,77972,613,22,319,33,102,12,1101,1
2,44377,224,0,30,0,0,10,264,0
2,46014,410,0,59,19,9,44,541,0
0,70951,239,10,554,254,87,54,1198,2
1,41443,171,7,171,25,19,89,482,0
3,52195,12,0,4,0,0,1,17,0
0,83790,1076,16,417,42,48,16,1615,2
1,44551,182,4,33,0,0,66,285,0
1,69508,824,32,162,42,32,43,1135,1
1,45204,30,11,25,29,1,18,114,0
0,72460,377,10,540,80,30,10,1047,1
2,77622,520,7,154,19,0,14,714,1
1,30732,155,1,25,0,1,3,185,0
1,63887,897,23,207,15,11,92,1245,1
1,42011,131,0,16,2,1,39,189,0
1,51369,297,7,79,0,11,182,576,1
1,51537,787,20,204,0,0,92,1103,1
0,79930,792,86,740,67,51,17,1753,2
1,34320,4,1,9,3,0,0,17,0
2,37070,231,7,137,4,15,39,433,0
1,81975,983,76,184,180,138,27,1588,2
1,38590,3,1,8,4,3,3,22,0
0,15033,0,4,5,6,0,4,19,0
1,62745,562,21,464,28,10,32,1117,1
1,22212,5,9,20,6,8,21,69,0
1,23661,18,0,4,0,0,1,23,0
1,79761,415,5,124,15,35,11,605,1
1,7500,5,3,10,12,7,20,57,0
0,73455,901,61,757,186,163,20,2088,2
1,64961,382,114,276,75,124,38,1009,2
1,22804,14,1,7,2,1,1,26,0
0,73687,559,153,503,218,13,181,1627,2
1,61074,789,0,133,0,28,152,1102,1
2,31686,11,0,5,0,0,1,17,0
1,80134,1218,16,272,104,0,80,1690,2
1,75027,925,64,179,133,12,77,1390,2
0,67546,864,134,768,150,38,172,2126,2
1,65176,960,28,183,220,70,70,1531,2
1,31160,16,3,25,6,1,13,64,0
1,29938,3,3,7,0,2,11,26,0
0,102692,168,148,444,32,172,148,1112,2
0,26490,45,47,52,21,20,25,210,0
2,75702,650,28,353,45,42,30,1148,1
1,30899,24,0,8,0,0,1,33,0
1,63342,918,21,118,13,10,21,1101,1
1,45989,138,33,87,28,24,12,322,0
2,18701,12,4,2,10,6,10,44,0
3,40737,11,0,4,0,0,2,17,0
1,15287,1,2,8,4,3,13,31,0
2,69674,554,41,215,11,0,24,845,1
1,44159,167,2,62,24,13,7,275,0
1,37717,9,0,6,4,1,5,25,0
2,43776,177,2,71,3,2,20,275,0
2,38179,38,4,22,4,2,20,90,0
0,80124,483,84,398,205,84,241,1495,2
2,38097,77,2,35,0,1,69,184,0
0,72940,182,74,298,162,149,116,981,2
1,22070,10,7,19,8,2,21,67,0
0,69267,778,44,499,95,73,146,1635,2
1,31788,16,7,23,0,8,6,60,0
1,61905,167,0,43,6,2,13,231,0
2,29315,13,2,14,8,7,4,48,0
2,33378,33,6,40,3,7,10,99,0
1,66313,625,7,99,10,22,7,770,1
0,60714,216,162,224,101,92,162,957,2
0,77882,68,129,396,188,22,15,818,2
0,69867,196,0,512,33,130,54,925,1
1,63841,635,15,100,20,7,131,908,1
1,24480,4,19,9,28,25,17,102,0
1,51369,297,7,79,0,11,182,576,1
0,37760,84,5,38,150,12,28,317,0
1,65640,204,7,149,20,15,66,461,1
2,44319,26,0,8,0,0,3,37,0
1,30631,15,6,20,4,5,20,70,0
0,75278,304,98,230,150,74,74,930,2
2,50898,285,28,242,55,114,135,859,1
0,79946,395,183,565,166,141,28,1478,2
0,35416,248,3,81,4,3,51,390,0
0,32414,20,6,5,0,9,12,52,0
1,38361,39,0,56,20,8,14,137,0
0,82497,777,129,573,216,21,203,1919,2
2,16626,8,3,22,21,1,13,68,0
2,29672,9,1,3,0,4,8,25,0
1,55951,1241,0,80,0,13,40,1374,1
1,35388,6,4,7,4,3,8,32,0
1,42386,65,4,16,0,4,11,100,0
0,68627,395,15,263,60,54,38,825,1
1,57912,801,0,80,0,0,35,916,1
2,35246,36,0,12,2,2,10,62,0
1,58821,513,14,154,19,0,28,728,1
1,46377,37,0,46,4,3,0,90,0
1,39747,80,15,93,20,13,52,273,0
1,23976,14,1,21,2,3,25,66,0
0,80950,525,147,112,219,147,63,1213,2
0,27038,1,26,25,17,23,15,107,0
0,77457,675,11,400,15,45,11,1157,1
1,64100,509,0,27,0,0,10,546,1
0,42670,154,2,46,20,4,15,241,0
1,12571,3,5,14,2,12,17,53,0
3,22574,25,0,8,2,0,2,37,0
0,70893,768,44,561,77,44,14,1508,2
2,54198,185,0,28,3,2,17,235,0
2,28839,24,0,7,0,0,1,32,0
2,40321,44,4,21,6,0,27,102,0
1,66503,91,64,128,65,3,50,401,1
2,30833,11,0,7,3,1,6,28,0
1,64795,412,5,119,38,29,77,680,1
1,34421,3,3,7,6,2,9,30,0
2,47025,16,0,3,0,0,1,20,0
1,64325,731,60,353,78,12,73,1307,1
1,40464,424,17,118,7,23,41,630,1
0,62187,792,0,275,45,45,126,1283,1
1,14849,21,2,28,3,2,9,65,0
1,27255,22,1,11,0,1,2,37,0
3,54432,33,0,5,0,0,0,38,0
1,29999,68,7,59,10,5,11,160,0
1,24072,9,1,6,3,0,4,23,0
0,33996,40,2,15,8,0,6,71,0
1,66334,909,11,218,0,0,23,1161,1
1,35178,23,1,13,2,2,18,59,0
1,22010,11,2,9,3,0,8,33,0
2,62204,317,46,247,151,46,139,946,1
0,75693,797,153,293,72,97,30,1442,2
1,30675,10,2,16,11,2,21,62,0
0,83003,856,61,570,40,25,122,1674,2
0,68655,456,19,832,75,118,38,1538,2
0,41411,37,32,38,11,3,18,139,0
1,55212,1103,0,45,0,0,34,1182,1
1,59292,378,14,68,19,14,14,507,1
1,27190,1,6,7,0,1,3,18,0
0,82623,204,34,204,172,153,173,940,2
2,44300,30,0,9,0,0,3,42,0
0,84835,189,104,379,111,189,218,1190,2
2,30372,15,0,12,7,3,7,44,0
1,33181,9,0,3,0,0,4,16,0
1,71113,495,33,255,11,33,8,835,1
1,71952,656,80,455,52,107,93,1443,2
0,69759,452,20,514,13,30,0,1029,1
0,72099,546,91,410,119,0,22,1188,2
1,60000,1048,0,217,0,0,12,1277,1
2,38643,22,2,14,0,1,10,49,0
1,50737,78,0,11,0,0,10,99,0
0,68462,561,64,785,84,128,48,1670,2
0,65073,629,17,177,69,0,8,900,1
2,46681,269,15,69,15,19,38,425,0
0,78618,736,163,818,212,163,61,2153,2
1,62187,512,0,83,0,0,41,636,1
2,28442,19,3,10,11,8,6,57,0
1,37717,9,0,6,4,1,5,25,0
2,51479,247,8,160,6,8,65,494,0
1,54803,404,0,92,28,27,142,693,1
0,79530,333,0,815,129,42,29,1348,2
1,31615,2,3,20,6,11,9,51,0
0,72025,833,33,549,151,133,233,1932,2
1,52614,789,0,142,12,9,38,990,1
1,35684,10,4,7,0,6,3,30,0
2,48178,159,4,45,6,2,38,254,0
1,29548,7,1,6,3,1,11,29,0
1,63810,977,12,253,16,12,101,1371,1
2,38578,38,4,22,3,3,3,73,0
2,46098,57,0,27,0,0,36,120,0
0,22585,3,9,15,13,2,39,81,0
1,30279,10,4,14,4,4,1,37,0
1,66426,1043,24,97,32,24,157,1377,1
1,30822,3,9,13,2,12,12,51,0
2,33581,11,0,5,0,0,1,17,0
1,19986,3,6,5,0,2,6,22,0
0,27421,43,12,96,78,40,55,324,0
3,35688,73,3,90,12,1,32,211,0
1,36143,12,0,1,0,0,6,19,0
1,10245,4,7,7,6,4,13,41,0
1,43795,314,11,53,4,3,107,492,1
1,63381,571,50,142,33,50,159,1005,1
1,38823,70,0,11,2,8,23,114,0
2,83664,866,21,151,28,21,86,1173,1
0,90300,594,134,786,33,134,57,1738,2
1,62499,140,4,61,0,13,4,222,0
0,74293,375,152,335,93,91,81,1127,2
0,51012,102,9,63,2,9,24,209,0
1,70777,554,35,113,0,7,78,787,1
0,68682,919,0,505,99,30,45,1598,2
2,43824,96,1,42,12,3,32,186,0
1,15345,5,2,16,3,2,19,47,0
1,23442,2,0,6,8,6,5,27,0
1,14515,6,4,9,6,36,35,96,0
2,31395,23,1,25,0,8,7,64,0
0,75276,610,105,125,137,42,21,1040,2
2,42373,67,5,61,3,8,19,163,0
0,30507,65,36,74,38,20,110,343,0
3,55521,416,0,26,0,0,4,446,0
2,48006,23,0,11,3,2,2,41,0
1,27213,19,3,26,10,9,3,70,0
2,65808,155,7,80,13,7,10,272,0
1,30351,14,0,24,3,3,2,46,0
2,50437,370,9,92,6,9,4,490,0
1,23616,4,22,11,3,7,32,79,0
1,53858,407,53,221,58,150,26,915,1
1,66465,1200,0,204,38,29,14,1485,1
1,46923,85,44,54,102,78,6,369,0
1,75072,583,34,309,0,22,125,1073,1
0,75865,483,0,591,156,0,12,1242,2
1,19789,2,5,9,28,6,28,78,0
0,80134,966,26,282,52,26,26,1378,2
0,91065,822,114,108,179,137,114,1474,2
2,49505,604,0,100,19,0,28,751,1
1,37401,19,3,19,3,1,3,48,0
1,30096,5,3,11,12,5,9,45,0
1,18492,2,2,2,2,1,1,10,0
0,82584,1076,68,103,29,91,68,1435,2
0,93027,1285,42,716,55,0,21,2119,2
3,48686,10,0,7,2,0,1,20,0
0,92910,551,137,792,179,103,33,1795,2
1,75433,800,0,297,0,34,57,1188,1
1,10404,2,2,11,10,6,12,43,0
1,61314,378,0,189,97,172,172,1008,1
0,84865,1248,16,349,43,16,16,1688,2
1,42387,235,0,235,19,4,191,684,1
2,67309,515,47,181,149,95,95,1082,1
1,75236,438,66,400,12,38,114,1068,1
1,30015,25,0,22,2,3,5,57,0
1,50943,31,0,7,2,0,6,46,0
1,67272,357,35,271,28,28,14,733,1
1,51529,400,4,35,6,0,22,467,0
1,32011,99,0,15,2,1,5,122,0
1,7500,1,11,5,4,6,9,36,0
1,28691,5,4,13,8,0,4,34,0
1,56223,77,28,31,16,0,4,156,0
0,18100,3,1,2,4,3,1,14,0
1,30279,10,4,14,4,4,1,37,0
0,20130,0,6,3,7,6,12,34,0
0,23295,0,0,1,2,12,5,20,0
1,42618,76,14,74,13,5,10,192,0
0,81246,398,190,537,61,156,37,1379,2
1,24027,14,7,11,11,0,5,48,0
1,55707,208,7,82,30,66,35,428,1
1,57959,430,16,322,43,24,33,868,1
1,56796,656,38,161,62,47,37,1001,1
1,36230,14,2,30,8,2,3,59,0
2,70829,141,70,106,72,19,23,431,1
1,65991,507,19,364,25,47,9,971,1
3,38988,164,24,103,12,3,42,348,0
0,89572,606,24,974,197,194,64,2059,2
1,42207,116,11,72,3,17,46,265,0
1,50300,143,15,60,24,23,5,270,0
0,66664,398,96,447,220,96,32,1289,2
1,60597,522,0,257,32,16,66,893,1
0,70165,161,0,253,199,191,122,926,2
1,50520,112,0,6,2,1,14,135,0
0,80124,483,84,398,205,84,241,1495,2
1,33183,7,5,39,17,15,37,120,0
0,66582,789,25,420,16,38,0,1288,1
0,75261,1239,17,413,23,34,17,1743,2
1,31880,4,1,5,2,0,3,15,0
2,53790,335,42,127,28,5,5,542,0
1,49269,639,8,166,11,8,58,890,1
1,61456,563,76,384,84,192,89,1388,2
1,37406,2,0,8,2,2,3,17,0
1,56937,746,8,125,11,8,8,906,1
2,38415,22,1,13,4,0,4,44,0
1,20518,4,1,6,4,1,9,25,0
1,62503,478,0,193,110,75,117,973,1
2,41644,20,3,4,2,0,2,31,0
1,55842,451,0,39,0,4,24,518,1
1,62010,371,22,39,6,0,92,530,1
1,41124,281,7,84,15,0,119,506,1
1,38961,19,7,19,0,1,24,70,0
1,37760,26,3,13,2,10,0,54,0
1,32233,138,15,35,25,11,72,296,0
1,43057,213,2,44,0,2,5,266,0
0,83151,407,28,100,120,74,18,747,2
0,78825,483,74,114,169,37,18,895,2
1,65104,738,0,232,13,20,50,1053,1
1,60093,502,12,109,16,6,90,735,1
1,14045,11,0,5,2,1,1,20,0
0,28457,24,1,108,29,29,14,205,0
1,78952,1170,19,594,99,76,134,2092,2
1,46310,185,2,88,15,5,14,309,0
0,76005,983,20,389,240,50,40,1722,2
1,58308,691,0,69,10,0,130,900,1
0,55614,504,13,131,8,0,26,682,1
1,59432,317,25,265,25,19,12,663,1
1,55563,29,1,9,2,0,2,43,0
1,78642,1396,0,322,46,35,17,1816,1
1,67911,529,0,356,63,28,0,976,1
0,65275,388,14,218,91,14,21,746,1
2,27203,13,2,21,4,0,24,64,0
1,48330,28,0,4,0,0,0,32,0
0,24279,16,36,21,20,62,108,263,0
1,64355,1047,0,140,67,38,153,1445,1
1,50943,31,0,7,2,0,6,46,0
0,53653,815,10,239,28,10,108,1210,1
1,65665,225,162,387,106,36,29,945,2
0,81217,493,70,324,146,40,84,1157,2
0,34935,34,4,66,3,10,20,137,0
1,61250,382,138,65,60,26,59,730,1
1,39665,127,1,56,0,1,31,216,0
1,60152,325,83,300,86,58,91,943,1
2,48920,238,17,68,8,10,6,347,0
0,89120,1168,92,408,72,129,55,1924,2
1,44124,284,0,55,0,6,52,397,0
0,81169,1288,20,613,80,61,27,2089,2
2,36443,65,0,46,4,3,20,138,0
1,26095,11,7,9,3,1,11,42,0
0,71367,227,23,389,42,21,75,777,1
0,80184,1035,134,670,25,38,0,1902,2
2,30630,27,1,12,2,0,10,52,0
0,73454,982,73,351,56,14,175,1651,2
0,42691,179,2,64,38,17,58,358,0
0,70503,1379,33,216,0,33,66,1727,2
1,25545,32,1,64,16,12,85,210,0
1,32880,8,4,15,7,6,2,42,0
0,77863,881,38,319,16,25,12,1291,1
0,50353,141,15,153,67,31,35,442,1
0,61839,1000,155,379,224,17,120,1895,2
2,49154,206,10,67,30,27,71,411,0
1,47682,162,61,83,97,57,61,521,1
1,72679,619,54,260,127,54,54,1168,2
2,57954,456,4,24,0,0,9,493,0
2,65316,112,6,92,3,9,38,260,0
1,28567,11,3,22,2,2,6,46,0
1,47352,172,12,112,8,0,15,319,0
1,44931,78,0,11,0,0,7,96,0
0,76982,464,151,292,65,60,30,1062,2
1,57247,99,4,32,37,54,6,232,0
1,22944,19,3,19,4,5,26,76,0
1,25315,1,9,8,11,3,22,54,0
1,43638,63,10,83,7,19,19,201,0
1,42710,252,3,42,4,3,102,406,0
0,84169,1478,19,403,0,19,0,1919,2
1,54058,198,18,252,32,108,54,662,1
1,24683,8,4,10,6,7,6,41,0
0,85620,416,46,925,60,107,46,1600,2
1,47850,42,7,43,20,12,10,134,0
2,19514,14,3,21,2,1,28,69,0
2,27159,17,0,3,0,0,1,21,0
2,39548,15,4,10,3,4,18,54,0
1,21474,6,16,24,11,0,34,91,0
1,60504,458,0,24,6,4,34,526,1
0,22419,30,3,47,19,21,42,162,0
0,81698,179,28,520,111,123,47,1008,2
2,43462,90,17,97,15,6,15,240,0
1,54880,308,85,137,102,45,118,795,1
0,79908,557,129,761,29,185,111,1772,2
0,15315,7,4,13,15,8,17,64,0
1,87771,1492,38,287,50,57,33,1957,2
1,33039,30,8,12,8,8,12,78,0
0,81741,249,153,940,58,134,38,1572,2
1,71499,465,25,132,136,0,37,795,1
1,62466,129,129,259,168,121,83,889,2
1,48799,174,18,81,28,6,24,331,0
1,52157,189,2,29,3,2,40,265,0
1,66565,747,10,161,65,40,42,1065,1
2,29298,6,0,2,2,0,1,11,0
1,47691,14,0,3,0,0,4,21,0
2,38200,12,0,4,0,0,1,17,0
1,44989,98,0,106,49,10,106,369,0
2,38443,32,0,5,0,0,1,38,0
1,38593,51,12,49,17,24,24,177,0
1,64413,200,5,44,0,10,20,279,0
1,36959,25,6,25,6,0,0,62,0
1,61996,1050,12,144,0,0,24,1230,1
2,51287,117,0,22,13,0,30,182,0
2,13260,9,4,17,10,2,7,49,0
2,47472,56,0,11,0,0,8,75,0
2,54603,145,13,46,17,2,4,227,0
2,45207,203,0,10,0,0,2,215,0
1,40689,270,3,27,39,6,99,444,0
2,47821,9,0,16,6,6,10,47,0
0,27450,37,12,23,8,11,52,143,0
1,39453,46,0,7,0,0,2,55,0
2,26850,31,1,13,7,2,9,63,0
0,79800,1060,21,530,32,0,224,1867,2
1,61794,264,47,188,54,47,11,611,1
1,53863,399,4,30,6,4,30,473,1
0,24221,8,9,9,2,5,22,55,0
1,39684,19,0,35,6,4,17,81,0
0,92163,817,183,797,106,163,20,2086,2
0,69882,292,127,635,132,127,165,1478,2
1,33178,12,6,2,11,2,16,49,0
0,59973,130,30,168,20,34,0,382,1
1,17459,6,4,16,3,10,30,69,0
1,23910,16,12,18,7,1,13,67,0
2,42169,19,0,9,0,0,2,30,0
1,26224,4,7,15,13,9,15,63,0
1,31089,31,3,31,2,8,4,79,0
1,30081,36,0,2,0,0,4,42,0
1,62807,526,28,135,10,21,99,819,1
0,72906,400,32,519,71,75,54,1151,2
2,61467,410,16,114,0,5,49,594,1
2,49618,80,3,26,4,2,14,129,0
1,21888,88,10,46,2,3,64,213,0
1,42429,55,0,6,2,0,4,67,0
3,26150,5,1,13,3,5,1,28,0
1,30801,8,4,5,15,2,11,45,0
0,81168,410,0,592,147,22,22,1193,2
0,26877,101,13,76,20,18,40,268,0
0,45006,162,25,53,16,0,10,266,0
1,18978,2,8,1,4,7,15,37,0
3,22574,25,0,8,2,0,2,37,0
0,48240,389,91,248,64,49,41,882,2
2,45837,215,13,87,17,17,24,373,0
3,35791,27,0,5,0,0,3,35,0
2,54162,5,6,10,6,5,10,42,0
1,30522,179,8,83,19,11,26,326,0
1,54456,352,0,27,10,0,15,404,0
0,31632,17,8,12,11,15,32,95,0
0,72298,625,35,169,58,17,35,939,1
1,36975,10,6,11,0,4,2,33,0
0,72635,390,22,323,104,35,107,981,2
1,13624,10,2,15,2,1,6,36,0
1,84196,215,63,507,231,31,190,1237,2
1,70971,1001,17,572,93,125,17,1825,2
2,34487,19,18,33,24,1,8,103,0
1,28769,41,5,129,10,3,3,191,0
1,69084,1181,107,199,39,30,30,1586,2
0,65488,603,45,207,36,18,54,963,1
1,62466,129,129,259,168,121,83,889,2
0,32218,10,24,15,13,1,30,93,0
0,83917,514,22,732,42,198,79,1587,2
3,46102,14,0,1,0,0,1,16,0
0,84574,387,20,713,38,54,163,1375,2
1,56181,121,103,69,8,44,48,393,1
1,63120,965,69,279,54,41,69,1477,2
1,73691,707,21,250,85,43,73,1179,1
1,63381,571,50,142,33,50,159,1005,1
0,76140,586,66,653,17,0,26,1348,2
1,62859,1063,89,102,16,12,25,1307,1
1,45906,305,3,27,4,3,144,486,1
0,77632,1200,105,758,0,42,147,2252,2
2,46463,163,2,40,8,11,11,235,0
0,105471,1009,181,104,202,21,207,1724,2
1,55282,125,6,73,8,4,19,235,0
1,78710,721,0,152,119,50,50,1092,1
1,66886,315,4,62,41,31,146,599,1
0,98777,1000,19,711,125,115,38,2008,2
1,29103,16,0,17,6,3,6,48,0
1,67445,757,80,217,29,80,11,1174,1
1,50616,30,2,25,0,1,9,67,0
1,49431,219,3,100,26,0,17,365,0
1,61278,111,3,28,2,6,15,165,0
0,26490,45,47,52,21,20,25,210,0
1,73059,410,112,420,0,82,71,1095,1
3,46734,100,1,39,6,1,76,223,0
1,56253,509,0,65,7,11,5,597,1
1,19986,3,6,5,0,2,6,22,0
1,58330,445,53,213,104,98,151,1064,2
0,25965,2,2,11,41,7,11,74,0
0,14661,4,1,11,6,2,2,26,0
0,18690,6,1,7,23,4,19,60,0
1,45068,14,0,3,0,0,3,20,0
1,21063,1,10,11,19,3,15,59,0
1,29187,26,0,6,0,0,2,34,0
2,54690,111,16,37,7,9,18,198,0
1,59304,418,61,428,80,51,10,1048,1
